id,ADP,WEIGHTED AGGREGATE RANK,DELTA %,PLAYER,POSITION
2cde7ee9-dcc6-439f-b9bd-1f7a714bbd2e,169.3,189.6,-10.71%,Trey Lance,QB
b8657f42-ccc2-49f8-a7fd-cbb2ac85674d,171.3,179.7,-4.67%,Taysom Hill,TE
4badea4a-d843-4ac5-896e-54a0d6d424f0,171.7,166.1,3.37%,Marvin Mims,WR
c93aae52-080e-4abc-953b-68b6794542be,171.7,170.1,0.94%,Jayden Reed,WR
42ace59a-781a-4622-a593-8cdc7c1797ea,172.6,183.6,-5.99%,Van Jefferson,WR
4b2f91a6-5390-442d-9a88-b42208c1e003,173.7,162.6,6.83%,Jeff Wilson,RB
9e0da79d-0176-4d60-8d1d-7762fdeeaec2,174.3,155.1,12.38%,Rondale Moore,WR
e39dac48-9b7a-4448-80d3-c160e148cdff,174.4,145.6,19.78%,Kenny Pickett,QB
0a762be3-aad0-4e01-9c59-90cf085f8400,177.3,182.1,-2.64%,Curtis Samuel,WR
dd5a4ffc-af4d-470b-a224-ee4277ee1384,177.4,175.6,1.03%,Hunter Renfrow,WR
c2d46971-0525-43e2-8b60-8b16cda742b1,180.7,180.7,0.00%,Michael Mayer,TE
978c6b0b-9b7b-4709-8d85-e2ca479165af,182.5,182.1,0.22%,Isaiah Hodgins,WR
dc67eab9-5d31-460c-874a-256b0f80f883,184.4,169.1,9.05%,Tyjae Spears,RB
b36b4445-cb85-4335-925c-6754bee756d4,184.4,198.5,-7.10%,Khalil Shakir,WR
fff3a3f5-056a-4596-96dc-da79ac799073,185.4,158.6,16.90%,Chuba Hubbard,RB
2dbf80f0-2ffe-4cc6-96b5-7225076af7d5,185.7,169.1,9.82%,Jimmy Garoppolo,QB
e1d7b91c-3bcb-43d7-9d07-1de8b23cb4fd,185.8,179,3.80%,CJ Stroud,QB
0a0bdba2-91cb-44da-8ef2-d89bb06e94bf,187.9,153.5,22.41%,Tyquan Thornton,WR
24f4dc1c-43b3-4df7-8bb5-58267b4033de,188.5,196.2,-3.92%,Mecole Hardman,WR
7a8cc20a-e7fe-4551-b0b3-7e0023de2d93,189.3,185.8,1.88%,Leonard Fournette,RB
431e7ae7-1225-4bab-bb7f-3639ae45cc32,190.3,189.5,0.42%,John Metchie,WR
53eeda5c-9184-41a9-88b4-155473b9f3e8,191.9,173.5,10.61%,Mike Gesicki,TE
8b8e693e-6f78-44f7-b1bf-193394201ca0,193.7,214.9,-9.87%,Kenneth Gainwell,RB
5e167971-887d-4c24-a5f2-1952a183d370,194.1,199.7,-2.80%,Hayden Hurst,TE
926ce20a-a45e-4c67-8f63-e1f952e50e3c,195.3,209.3,-6.69%,Chase Claypool,WR
